commit_url,num_dfy_files,num_insertions,num_deletions
https://github.com/benreynwar/SiLemma/commit/20a0e905aa4216b39c322e645342e395ac29f7c1,1,1,1
https://github.com/benreynwar/SiLemma/commit/24e2e58c60d54b82e1e901ebe917e9f0680afda6,1,2,2
https://github.com/benreynwar/SiLemma/commit/4884b7fcd08f8e0f430900878533547ac7907b7f,4,18,10
https://github.com/benreynwar/SiLemma/commit/4a787373f32a349be5a25a4dbd3fa18400dba6f5,1,13,0
https://github.com/benreynwar/SiLemma/commit/4da22d6abe75ccbc744134270e39a359a8ec6b4e,1,6,3
https://github.com/benreynwar/SiLemma/commit/eac70fd7fcece9aaa997a78912cd1851fa57f85a,1,501,2
https://github.com/benreynwar/SiLemma/commit/f9f945065978547d06f8c17096548d5b5fb825ff,18,269,203
https://github.com/boaz23/assertive-programming-assignment-1/commit/4e84547a7b97b4ee8fa0024bc8f82b179f921101,1,1,1
https://github.com/boaz23/assertive-programming-assignment-1/commit/adb6b901dce06cd35ae858926819326585b77256,3,11,4
https://github.com/boaz23/assertive-programming-assignment-1/commit/e4ce5f0c6cbb64236f6141217b7d4e7bd00be9e7,1,23,22
https://github.com/byd110/Dafny-experiences/commit/a6b7df07cf8f345359fa116ae3b03a619649c521,1,3,3
https://github.com/byd110/Dafny-experiences/commit/e5c125b18b58b4e0dc52e355e6adda1f891554d6,2,2,2
https://github.com/byu-dafny/test-generation-examples/commit/0dcce647bf6e804fb57dc6e5546f0b0e4426435a,1,15,16
https://github.com/byu-dafny/test-generation-examples/commit/3a19fb584893b3712f45f916b2a542d56c1760c1,4,7,7
https://github.com/byu-dafny/test-generation-examples/commit/5a1c1e462f01ea1ea7c220f3ae32a55b050d19a0,2,48,5
https://github.com/byu-dafny/test-generation-examples/commit/8cfb0e6e9f515b36cdcae4d14af966d1a67aa8d3,3,11,12
https://github.com/byu-dafny/test-generation-examples/commit/a41a5a05ee213b87560789467c551d1663045c8d,2,5,5
https://github.com/byu-dafny/test-generation-examples/commit/ecbcd3f17189227198d697572f9dad9deb79c727,1,2,2
https://github.com/Consensys/dafny-training/commit/0606cb987bd1d8800bea6fce4270cf4b862ca79e,1,2,2
https://github.com/Consensys/dafny-training/commit/0bcd27214c4d52ee3e9fc679e3f60e9017a2b6f2,1,1,1
https://github.com/Consensys/dafny-training/commit/47964e11a267137640e834da33ed83b331837297,1,1,1
https://github.com/Consensys/dafny-training/commit/7829a8c6c58982b8d3ad23a187b3db428bf72a66,1,5,5
https://github.com/Consensys/dafny-training/commit/7e634287833338c1e611c9a9b645ffe5fa2762fd,1,1,1
https://github.com/Consensys/dafny-training/commit/810ef75f7fb0b6ef701419753ef92a6020baf627,1,2,2
https://github.com/Consensys/dafny-training/commit/9bda7e956f4a602c6a20d9cefe7c5abf544ed7cf,1,1,1
https://github.com/Consensys/dafny-training/commit/aeb39e9f3da639cabb59f205c43d0a0beccba4ac,1,14,5
https://github.com/Consensys/dafny-training/commit/b7acbe7f27df1ca03f80da25940e99c21baec955,2,22,22
https://github.com/Consensys/dafny-training/commit/d4e05717dfaf26f0e0b9ca266cc68a911744ff47,1,3,3
https://github.com/Consensys/dafny-training/commit/d64c23138b35cf8a3994f727c060fc1dc5045717,1,3,3
https://github.com/Consensys/evm-dafny/commit/00000321241f71a1dc370a4d106f1d1655cc874f,5,64,42
https://github.com/Consensys/evm-dafny/commit/034b0cb9cbc07ff2a2f18f061af8151db4ffd89a,1,126,114
https://github.com/Consensys/evm-dafny/commit/05bcad57e0c0a714fea5acc6b548f8c081fa61a5,3,34,18
